admin_description,area_code,weekly_payment_gross,weekly_payment_gross_CV,weekly_payment_excluding,weekly_payment_excluding_CV,weekly_payment_basic,weekly_payment_basic_CV,overtime_payment,overtime_payment_CV,hourly_payment,hourly_payment_CV,hourly_payment_excluding,hourly_payment_excluding_CV,annual_payment_gross,annual_payment_gross_CV,annual_payment_incentive,annual_payment_incentive_CV,hours_worked_total,hours_worked_total_CV,hours_worked_basic,hours_worked_basic_CV,hours_worked_overtime,hours_worked_overtime_CV
pca10:Amber Valley,E14000533,493.1,7.3,447.2,6.2,425.8,6.3,,,12.31,6.5,12.00,6.8,24.213,7.6,,,38.0,1.0,37.5,1.0,,
pca10:Ashfield,E14000535,424.0,6.1,386.3,5.1,381.1,5.0,,,10.20,5.8,10.11,5.5,22.324,11.0,,,39.1,1.6,38.7,1.1,,
pca10:Bassetlaw,E14000546,476.9,5.6,446.1,6.1,428.7,6.3,,,11.31,6.3,11.31,6.3,24.697,8.2,,,38.0,1.6,37.5,1.0,,
pca10:Bolsover,E14000577,422.6,7.3,403.5,7.7,382.6,8.4,,,10.40,7.1,10.29,7.1,22.833,7.9,,,38.0,1.7,37.5,1.4,,
pca10:Boston and Skegness,E14000582,413.2,5.8,375.4,6.9,366.2,6.2,,,9.49,5.7,9.38,6.5,20.983,11.0,,,39.8,1.3,39.0,1.2,,
pca10:Bosworth,E14000583,477.1,8.6,462.4,8.6,441.2,8.7,,,11.68,9.1,11.62,9.3,24.929,10.0,,,37.5,1.6,37.5,1.1,,
pca10:Broxtowe,E14000607,565.3,5.6,542.4,6.4,520.3,6.8,,,14.85,6.2,14.77,6.8,27.599,7.7,,,37.5,0.3,37.4,0.3,,
pca10:Charnwood,E14000625,487.2,5.3,479.1,4.6,465.8,4.3,,,12.52,5.5,12.52,5.6,26.048,15.0,,,37.5,0.4,37.4,0.3,,
pca10:Chesterfield,E14000632,460.5,6.7,432.4,6.4,397.3,8.0,,,11.65,6.9,11.37,7.0,24.441,9.0,,,38.4,1.6,37.5,1.1,,
pca10:Corby,E14000648,502.6,6.3,478.5,6.4,445.3,6.5,,,11.97,6.0,11.84,7.6,25.990,7.5,,,39.8,1.5,38.5,1.3,,
pca10:Daventry,E14000660,535.2,9.8,518.2,9.4,506.6,8.5,,,14.15,9.8,14.12,10.0,29.444,9.7,,,37.5,1.7,37.5,0.3,,
pca10:Derby North,E14000662,528.1,7.0,515.3,6.9,501.5,7.1,,,13.48,8.6,13.48,8.0,26.893,12.0,,,37.5,1.0,37.5,0.3,,
pca10:Derby South,E14000663,470.6,8.2,456.5,9.0,440.3,7.4,,,11.79,8.4,11.79,8.6,24.981,9.1,,,37.5,1.3,37.4,0.3,,
pca10:Derbyshire Dales,E14000664,543.7,8.2,506.9,9.4,500.0,9.7,,,13.15,9.7,13.03,10.0,,,,,37.5,2.0,37.5,1.4,,
pca10:Erewash,E14000695,501.9,7.1,474.1,7.9,456.0,7.5,,,12.28,7.1,12.35,6.8,26.686,7.2,,,38.0,1.1,37.5,0.5,,
pca10:Gainsborough,E14000707,505.3,10.0,491.9,8.9,474.9,8.5,,,12.81,8.8,12.43,8.9,26.313,11.0,,,39.5,1.6,38.0,1.0,,
pca10:Gedling,E14000710,517.3,6.2,500.0,5.7,475.6,6.5,,,13.18,6.5,13.14,6.1,26.752,9.8,,,37.5,0.1,37.4,0.3,,
pca10:Grantham and Stamford,E14000714,508.5,8.2,475.6,7.4,460.1,7.1,,,12.12,9.6,12.01,8.7,26.271,8.3,,,38.0,1.7,37.5,1.6,,
pca10:Harborough,E14000728,521.9,5.3,486.3,5.0,478.9,6.2,,,13.32,6.2,13.11,5.4,27.509,,,,37.5,0.9,37.4,0.3,,
pca10:High Peak,E14000748,507.4,5.7,502.4,6.0,481.8,6.3,,,12.92,6.5,12.83,6.6,26.713,7.1,,,37.5,1.7,37.5,0.7,,
pca10:Kettering,E14000769,496.2,5.7,488.6,4.6,482.4,5.4,,,13.13,5.0,13.12,5.3,25.888,6.4,,,37.5,1.1,37.5,0.1,,
pca10:Leicester East,E14000782,399.7,6.4,379.5,6.4,354.4,6.3,,,9.94,5.7,9.88,5.9,21.481,11.0,,,37.5,1.7,37.5,0.7,,
pca10:Leicester South,E14000783,450.4,7.9,394.0,8.5,388.5,7.7,,,10.84,7.5,10.74,7.7,22.453,15.0,,,37.5,0.3,37.4,0.3,,
pca10:Leicester West,E14000784,405.1,5.8,379.6,6.5,367.9,5.9,,,10.10,6.1,10.10,6.3,21.306,7.6,,,38.5,1.7,37.5,1.0,,
pca10:Lincoln,E14000792,451.2,6.7,432.4,5.8,414.8,6.0,,,11.59,5.2,11.34,5.4,24.036,7.2,,,37.5,1.6,37.4,0.3,,
pca10:Loughborough,E14000797,551.6,6.6,521.8,6.0,498.4,5.7,,,13.68,6.0,13.68,4.9,28.361,8.7,,,37.5,1.7,37.5,0.5,,
pca10:Louth and Horncastle,E14000798,479.0,7.0,455.5,6.9,439.8,7.5,,,11.59,8.6,11.56,8.6,24.560,8.0,,,39.6,1.6,37.9,1.1,,
pca10:Mansfield,E14000810,408.2,4.9,386.9,5.3,372.0,5.5,,,9.79,6.1,9.69,6.2,21.155,7.5,,,39.0,1.6,37.5,1.0,,
pca10:Mid Derbyshire,E14000814,540.3,7.7,514.9,6.7,494.0,6.8,,,14.18,6.4,13.89,6.6,28.890,6.6,,,37.5,1.2,37.4,0.3,,
pca10:Newark,E14000829,497.6,10.0,467.1,11.0,460.7,9.7,,,12.23,9.1,12.16,9.3,24.423,12.0,,,37.5,1.2,37.5,0.9,,
pca10:North East Derbyshire,E14000843,509.8,8.6,479.2,7.5,475.7,6.7,,,12.88,8.7,12.86,8.3,25.130,10.0,,,37.5,1.7,37.5,0.3,,
pca10:North West Leicestershire,E14000858,491.5,6.2,463.4,6.1,448.0,6.5,,,11.91,6.6,11.89,6.8,25.344,9.8,,,38.7,1.7,37.5,1.4,,
pca10:Northampton North,E14000861,462.1,6.2,449.2,6.9,441.3,6.7,,,11.22,6.6,11.25,7.1,25.412,8.5,,,38.6,1.6,37.5,1.6,,
pca10:Northampton South,E14000862,491.1,7.2,477.2,5.4,454.8,6.5,,,12.12,5.7,12.19,5.7,26.820,9.1,,,39.1,1.3,37.5,1.0,,
pca10:Nottingham East,E14000865,429.9,6.5,417.2,7.1,410.4,7.2,,,10.89,6.3,10.67,6.4,23.813,16.0,,,37.5,0.3,37.3,0.3,,
pca10:Nottingham North,E14000866,387.5,6.5,375.8,6.7,361.1,6.4,,,9.73,6.7,9.74,6.8,19.935,8.9,,,37.7,1.3,37.5,0.9,,
pca10:Nottingham South,E14000867,433.9,6.7,422.1,7.2,413.9,6.2,,,11.50,6.9,11.60,6.4,23.303,8.1,,,37.5,1.0,37.5,0.6,,
pca10:Rushcliffe,E14000908,585.3,7.2,577.7,7.8,550.3,6.2,,,15.69,7.4,15.69,7.4,33.376,8.9,,,37.5,0.3,37.4,0.3,,
pca10:Rutland and Melton,E14000909,467.7,5.5,460.0,5.3,440.7,6.1,,,11.63,5.7,11.46,5.4,24.294,6.8,,,37.5,1.0,37.5,0.9,,
pca10:Sherwood,E14000924,418.9,6.5,411.2,6.3,408.2,6.0,,,10.99,6.9,10.99,6.8,21.671,17.0,,,37.5,1.5,37.5,0.7,,
pca10:Sleaford and North Hykeham,E14000929,482.5,6.8,471.1,7.3,463.2,7.4,,,12.24,6.9,12.24,6.5,25.246,7.3,,,37.5,1.1,37.4,0.3,,
pca10:South Derbyshire,E14000935,524.8,6.3,513.5,6.5,475.2,6.4,,,13.09,7.4,13.06,7.3,27.593,14.0,,,38.0,1.7,37.5,1.0,,
pca10:South Holland and The Deepings,E14000939,455.7,5.7,432.4,4.5,413.3,4.8,,,10.69,5.8,10.56,5.6,24.577,5.7,,,40.0,1.7,39.0,1.6,,
pca10:South Leicestershire,E14000940,530.8,5.1,515.8,4.2,487.3,4.7,,,13.55,4.8,13.39,4.8,27.553,7.7,,,37.5,0.3,37.5,0.3,,
pca10:South Northamptonshire,E14000942,542.8,7.4,542.8,7.3,534.8,8.8,,,14.33,7.7,14.33,7.6,30.566,7.9,,,37.5,0.1,37.5,0.1,,
pca10:Wellingborough,E14001025,481.5,5.5,457.9,5.0,439.9,5.0,,,11.79,5.2,11.84,6.0,25.339,13.0,,,39.0,1.3,38.6,1.0,,
pca10:AldridgeBrownhills,E14000531,447.8,9.9,446.0,9.6,440.4,11.0,,,11.59,10.0,11.59,9.9,25.439,13.0,,,37.5,1.4,37.4,0.3,,
pca10:Birmingham. Edgbaston,E14000560,519.5,8.0,507.5,8.1,485.4,6.7,,,13.72,7.7,13.62,7.9,26.359,11.0,,,37.5,0.4,37.5,0.3,,
